iter	Accuracy	Logloss
0	0.6164625	0.6852951714
1	0.62525	0.6784404073
2	0.6341375	0.6725352484
3	0.641175	0.6672202535
4	0.654375	0.662693188
5	0.66325	0.6579542922
6	0.6696875	0.6533435863
7	0.679575	0.6490066836
8	0.6856125	0.6449686282
9	0.692875	0.6410699127
10	0.696425	0.6371686902
11	0.7015875	0.6335826512
12	0.7057125	0.6302212169
13	0.7077875	0.6268889645
14	0.7106625	0.6234226148
15	0.7161	0.6204980391
16	0.7188375	0.6174944415
17	0.721275	0.6144704491
18	0.723325	0.6116502338
19	0.72645	0.608746358
20	0.73035	0.6059305928
21	0.7338	0.6034310991
22	0.732625	0.6009222231
23	0.737025	0.5982403441
24	0.73885	0.5957395604
25	0.7409375	0.5933625548
26	0.742425	0.5910610084
27	0.7458625	0.5887594639
28	0.7478375	0.5865701419
29	0.750075	0.5843201825
30	0.750425	0.5821186812
31	0.7521	0.5801049582
32	0.7526375	0.5780557469
33	0.7543875	0.5760767717
34	0.7538875	0.5741372759
35	0.75565	0.57216626
36	0.757025	0.5702143555
37	0.7597375	0.5683312799
38	0.760075	0.5663876841
39	0.7611375	0.5646035614
40	0.762925	0.5628322775
41	0.7632125	0.5610787309
42	0.7652875	0.5595125019
43	0.7670375	0.5579126794
44	0.7680875	0.5562452814
45	0.7688875	0.5546395273
46	0.769575	0.552983544
47	0.7697125	0.5512893042
48	0.7714625	0.5497383397
49	0.771225	0.5482305475
50	0.7719875	0.5466305462
51	0.7735875	0.5450876166
52	0.7738	0.5436823864
53	0.7738625	0.5422572942
54	0.7757875	0.5408459612
55	0.7773	0.5394427929
56	0.778425	0.5380669146
57	0.778125	0.5366726701
58	0.7797375	0.5352554516
59	0.7800875	0.5338456524
60	0.78055	0.532449921
61	0.7816625	0.5311000124
62	0.78245	0.5298826903
63	0.78195	0.5286203425
64	0.7823125	0.5273992547
65	0.7831375	0.5263251537
66	0.78425	0.5251115397
67	0.785225	0.5239497139
68	0.785125	0.5227589765
69	0.786125	0.5216286252
70	0.7871875	0.5204254479
71	0.78755	0.5192957429
72	0.7882	0.5182078144
73	0.788875	0.5170215208
74	0.79055	0.51589241
75	0.79115	0.5147951411
76	0.7917625	0.513706055
77	0.7924125	0.5126560775
78	0.79235	0.5115622895
79	0.792175	0.5105394904
80	0.7925875	0.5095047752
81	0.7943375	0.5084140512
82	0.794575	0.5073950806
83	0.7950375	0.5062892277
84	0.795075	0.5053280309
85	0.796025	0.5043177125
86	0.796925	0.5033489816
87	0.79765	0.5024654838
88	0.7980625	0.5014901031
89	0.7991375	0.5005614215
90	0.7997	0.4995952048
91	0.8007	0.498678437
92	0.8005875	0.4977507059
93	0.800675	0.4968156484
94	0.80175	0.4958990285
95	0.8016125	0.4949550826
96	0.802775	0.4940361847
97	0.80335	0.4931922757
98	0.803725	0.4922979167
99	0.803925	0.4913576604
100	0.8046875	0.4905212625
101	0.8043125	0.4896570308
102	0.805275	0.4887831075
103	0.80525	0.4878435607
104	0.8061625	0.4869715506
105	0.80655	0.4860640802
106	0.80735	0.4852290965
107	0.80725	0.4844173591
108	0.8076375	0.4835378193
109	0.808175	0.4826855064
110	0.8087125	0.4818165786
111	0.8093875	0.4808911434
112	0.8097	0.4800599714
113	0.8109375	0.4792419962
114	0.8112125	0.4783651123
115	0.811625	0.4775653225
116	0.8123875	0.4767120698
117	0.812525	0.4758702748
118	0.8134125	0.4750631464
119	0.8138375	0.4742248521
120	0.8142875	0.4733757903
121	0.8149375	0.4725675042
122	0.8159875	0.4717525069
123	0.8158375	0.4709524135
124	0.8158625	0.4701414488
125	0.8168125	0.4693007136
126	0.8166375	0.4684991029
127	0.816975	0.4677175317
128	0.81785	0.4669038231
129	0.8188375	0.4661300146
130	0.81945	0.4653783418
131	0.8195875	0.4646259892
132	0.8196625	0.463847928
133	0.820225	0.4630843011
134	0.8211875	0.4622785234
135	0.82165	0.4615003145
136	0.8216875	0.4607088897
137	0.8224375	0.4599534883
138	0.82265	0.4591999845
139	0.822875	0.4583878387
140	0.8231875	0.4576396614
141	0.823275	0.4568754728
142	0.8240125	0.4561286897
143	0.8237125	0.4553900624
144	0.824125	0.4546649164
145	0.8247125	0.4539518259
146	0.82495	0.453211057
147	0.8255125	0.4524884758
148	0.8261375	0.451788114
149	0.8275125	0.4510942935
150	0.8271375	0.4503729519
151	0.8276	0.4497034753
152	0.82785	0.4489935886
153	0.828725	0.4482445079
154	0.8287	0.4475460852
155	0.8294375	0.4468239836
156	0.8299125	0.4461295542
157	0.830225	0.445492756
158	0.8303875	0.4448225835
159	0.831	0.4441611568
160	0.8311875	0.4434894085
161	0.8315875	0.4427797548
162	0.832475	0.4421346477
163	0.832675	0.4414571166
164	0.8328375	0.4407692505
165	0.832775	0.4401450664
166	0.83265	0.4394901613
167	0.8333125	0.4388257678
168	0.8337875	0.4381958479
169	0.834075	0.4375691845
170	0.8342625	0.4368971749
171	0.835075	0.4362242454
172	0.835575	0.4355741695
173	0.8355875	0.434923603
174	0.8355375	0.4343348572
175	0.8365125	0.4337116905
176	0.8369375	0.4331040375
177	0.837525	0.432531398
178	0.8374375	0.4318896227
179	0.837875	0.4312898021
180	0.8379	0.4306741899
181	0.8388125	0.4300615524
182	0.8389375	0.4294599784
183	0.8397875	0.4288874493
184	0.8393875	0.4283034412
185	0.8391625	0.4277170031
186	0.839775	0.4271583628
187	0.8397875	0.4265740845
188	0.8408	0.4259408711
189	0.841025	0.4253805133
190	0.84135	0.4248289172
191	0.8413875	0.4242351054
192	0.8421625	0.4236638716
193	0.8426125	0.4230558169
194	0.8428875	0.4224377373
195	0.843325	0.4218581996
196	0.843175	0.4212780947
197	0.843375	0.4207263603
198	0.8436625	0.4201313344
199	0.8442	0.4195176179
200	0.844425	0.4189378809
201	0.8450125	0.4183915044
202	0.8454125	0.4178216031
203	0.8453375	0.4172584081
204	0.8457875	0.4167470959
205	0.84595	0.4162189474
206	0.8456375	0.4156558117
207	0.8461125	0.4151122773
208	0.846325	0.4145473527
209	0.845825	0.4140218638
210	0.84655	0.4134955784
211	0.846675	0.4129631727
212	0.8469875	0.4124214007
213	0.847275	0.4118832038
214	0.847425	0.4113569017
215	0.8471625	0.4108295825
216	0.8481	0.410309775
217	0.84835	0.4097590797
218	0.849025	0.409242574
219	0.8492125	0.4087420638
220	0.849325	0.4081644235
221	0.8496125	0.4076522752
222	0.8499375	0.4071416558
223	0.8498	0.4066450048
224	0.8498875	0.4061114631
225	0.849925	0.405566801
226	0.85045	0.4050875078
227	0.8504125	0.404576471
228	0.850475	0.4040806962
229	0.85065	0.4035518255
230	0.85065	0.403041474
231	0.8505375	0.4025186657
232	0.85085	0.4020417275
233	0.8509	0.4015383979
234	0.8512625	0.4010447203
235	0.8516375	0.4005259113
236	0.8518	0.4000100301
237	0.852625	0.3995170628
238	0.8532125	0.399007349
239	0.853325	0.3985199894
240	0.853325	0.3980191602
241	0.85415	0.3975354312
242	0.8542125	0.3970741031
243	0.8543125	0.3965745717
244	0.854625	0.3961179352
245	0.8545375	0.3956442093
246	0.854875	0.3951391766
247	0.855225	0.3946369687
248	0.855475	0.3941692032
249	0.8559	0.3937306258
250	0.856	0.3932594032
251	0.8560375	0.3928276269
252	0.8564125	0.3923669946
253	0.85635	0.3919733983
254	0.85665	0.3914643869
255	0.8567375	0.3909781162
256	0.857425	0.3904940495
257	0.8579125	0.390023811
258	0.8584	0.3895770789
259	0.858075	0.3891121579
260	0.858075	0.3886611933
261	0.8585	0.3882055025
262	0.858375	0.3877606673
263	0.8589375	0.3873430476
264	0.858875	0.3868839593
265	0.859525	0.386412348
266	0.8598875	0.3859867891
267	0.8601375	0.3855737666
268	0.86055	0.3851201459
269	0.8605625	0.3846437364
270	0.8608875	0.3841602403
271	0.8612625	0.383751814
272	0.8618875	0.3833216213
273	0.8617625	0.382896954
274	0.8622875	0.3824740292
275	0.8627375	0.3820540546
276	0.863	0.3816608503
277	0.86315	0.3812504114
278	0.8630375	0.3808401172
279	0.862725	0.3804114376
280	0.86305	0.3800189108
281	0.863025	0.3795842828
282	0.86335	0.3791914965
283	0.8634375	0.3787922345
284	0.863775	0.3783526983
285	0.8643125	0.3778768901
286	0.8644625	0.3774713019
287	0.865025	0.3770826275
288	0.8647375	0.3766686685
289	0.865075	0.3762547085
290	0.865225	0.3758164661
291	0.8653	0.375400636
292	0.8655625	0.3749842374
293	0.866075	0.3745909586
294	0.8663625	0.3741812558
295	0.8666	0.3737683775
296	0.8670125	0.3733778492
297	0.8673125	0.3729476385
298	0.867825	0.3725138091
299	0.8678125	0.37206624
300	0.86795	0.371687262
301	0.8680625	0.3712790535
302	0.8684875	0.3708935168
303	0.86885	0.3704740868
304	0.8691125	0.3700765275
305	0.869425	0.369681182
306	0.869275	0.3692923649
307	0.869575	0.3688563861
308	0.869825	0.3684402654
309	0.8701	0.368055246
310	0.8702875	0.3676560151
311	0.87075	0.367256459
312	0.8710625	0.3668819435
313	0.8716625	0.3664770292
314	0.8716	0.3660668506
315	0.87195	0.3657031875
316	0.8720625	0.365286256
317	0.8729	0.3649071171
318	0.8729125	0.3644727373
319	0.8731	0.3640590748
320	0.873425	0.3636349788
321	0.87365	0.3632448437
322	0.873525	0.3628478305
323	0.8738375	0.3624423811
324	0.873775	0.3620417846
325	0.87385	0.3616208251
326	0.87385	0.361270256
327	0.8740875	0.3608686228
328	0.874725	0.3604576269
329	0.8749875	0.3600477768
330	0.8753625	0.359667259
331	0.8754875	0.3593028146
332	0.8755625	0.3589362863
333	0.875775	0.3585638125
334	0.87605	0.3581952575
335	0.8763	0.3578480884
336	0.8762375	0.3574672881
337	0.8761625	0.3570680538
338	0.876475	0.3567284108
339	0.8771375	0.3563462838
340	0.87695	0.3559741152
341	0.877225	0.3555809116
342	0.8776625	0.3552193645
343	0.8775	0.3548584044
344	0.8775625	0.3544887735
345	0.877725	0.354124439
346	0.8782125	0.3537831587
347	0.8782375	0.3534377332
348	0.878425	0.3531211839
349	0.87815	0.3527383094
350	0.8781375	0.3524070254
351	0.87865	0.3520258871
352	0.8790625	0.3516747193
353	0.879575	0.35128693
354	0.879875	0.3509504899
355	0.8793	0.3506266687
356	0.8794625	0.350223505
357	0.880125	0.3498849493
358	0.880625	0.3495056641
359	0.880675	0.3491401177
360	0.880875	0.3488028174
361	0.880975	0.3484658635
362	0.8812375	0.3480956153
363	0.8813	0.3477433353
364	0.881525	0.3473773293
365	0.881475	0.3470503792
366	0.8817375	0.3467318725
367	0.8817875	0.3463720811
368	0.8820125	0.3460201311
369	0.8825125	0.3456339025
370	0.8826625	0.3452869433
371	0.8829625	0.3449380066
372	0.8832875	0.3445938089
373	0.8836875	0.3442627629
374	0.8834875	0.3439299675
375	0.8838125	0.3435723798
376	0.883675	0.3432016694
377	0.8839875	0.3428411571
378	0.8845125	0.3424913122
379	0.8841875	0.3421466795
380	0.8845125	0.3418030292
381	0.884925	0.3414768119
382	0.8851125	0.3411747044
383	0.8851875	0.3408423878
384	0.8854375	0.3405175137
385	0.885925	0.3401591766
386	0.8862875	0.33979119
387	0.8865125	0.3394407308
388	0.8867125	0.3391337463
389	0.8866375	0.338784541
390	0.8866375	0.3384680486
391	0.8865375	0.3381124225
392	0.8869625	0.3377701272
393	0.8873125	0.3374196593
394	0.8874875	0.3371089062
395	0.8875875	0.3368134678
396	0.8877	0.3364863829
397	0.888075	0.3361883195
398	0.88805	0.3358543696
399	0.8881875	0.3355093303
400	0.8884875	0.3352152782
401	0.8884625	0.3349389404
402	0.8885875	0.3346401214
403	0.8886125	0.3343294152
404	0.8888625	0.3340246252
405	0.8889125	0.3336761421
406	0.8890625	0.3333839435
407	0.8888625	0.3330465808
408	0.8893375	0.3327337086
409	0.88955	0.3324009831
410	0.8895625	0.3320499918
411	0.8898	0.3316922402
412	0.8899125	0.3313709452
413	0.8903125	0.3310861405
414	0.8906375	0.3307788371
415	0.8905375	0.3304338268
416	0.8909	0.3301471346
417	0.8909625	0.3298372568
418	0.8912625	0.3294945484
419	0.891175	0.3291976548
420	0.8910875	0.3288917912
421	0.8914125	0.3285727442
422	0.8917125	0.3282500439
423	0.8919375	0.3279528116
424	0.89215	0.3276206141
425	0.89265	0.3272822972
426	0.892825	0.3269473512
427	0.89305	0.3266478975
428	0.893175	0.3263577893
429	0.89325	0.3260560388
430	0.89345	0.3257928013
431	0.893625	0.3255316148
432	0.894075	0.3252079749
433	0.8942875	0.3249087862
434	0.89435	0.3246016547
435	0.894825	0.3243189805
436	0.8946875	0.3240372214
437	0.8949625	0.3237391021
438	0.8951375	0.3234012985
439	0.8952125	0.3231115337
440	0.8952625	0.3228657371
441	0.895675	0.322574981
442	0.89585	0.3222508881
443	0.8961125	0.3219450275
444	0.896425	0.3216282161
445	0.8965375	0.3213415347
446	0.8968875	0.3210672044
447	0.8971	0.3207791705
448	0.8973	0.3204860278
449	0.8977875	0.3202149662
450	0.8977	0.3199062623
451	0.897675	0.3196213288
452	0.897625	0.3193178694
453	0.897525	0.3190096244
454	0.8978375	0.3187006826
455	0.8979	0.3183985265
456	0.8981	0.3180953509
457	0.898375	0.3177824772
458	0.8987375	0.3174966816
459	0.898675	0.3172530349
460	0.8991	0.3169530541
461	0.899275	0.3166755457
462	0.89955	0.3164011987
463	0.8993875	0.3161052072
464	0.899375	0.3157881088
465	0.8998	0.3155139626
466	0.89975	0.3151854542
467	0.8999125	0.3148539317
468	0.900475	0.3145389348
469	0.9008375	0.3142565642
470	0.900925	0.3139528154
471	0.90055	0.313644052
472	0.901025	0.3133229801
473	0.9013875	0.3130228648
474	0.9013375	0.3127353539
475	0.9017625	0.3124478
476	0.9021125	0.3121641469
477	0.902	0.3119081807
478	0.9017625	0.3116113681
479	0.901875	0.3113546368
480	0.9021375	0.3110514254
481	0.9024	0.3107659489
482	0.9025	0.3104637976
483	0.9026875	0.3101855767
484	0.9024375	0.3098657778
485	0.9027625	0.3095935198
486	0.9025875	0.3093099053
487	0.903025	0.3089976804
488	0.903225	0.308712529
489	0.9034375	0.3084335975
490	0.903325	0.3081658428
491	0.9037125	0.3078944798
492	0.90365	0.3075947426
493	0.90435	0.3072918715
494	0.9046125	0.3069974762
495	0.904425	0.3067204813
496	0.9045875	0.3064174975
497	0.904825	0.3061393335
498	0.904875	0.3058517186
499	0.9050625	0.305568537
